C,H,L,DL_female,DL_male
0,0,25,-0.138174794962025,0.210900476294365
0,15,25,-0.138174794962025,0.210900476294365
0,30,25,-0.138174794962025,0.210900476294365
0,45,25,-0.138174794962025,0.210900476294365
0,60,25,-0.138174794962025,0.210900476294365
0,75,25,-0.138174794962025,0.210900476294365
0,90,25,-0.138174794962025,0.210900476294365
0,105,25,-0.138174794962025,0.210900476294365
0,120,25,-0.138174794962025,0.210900476294365
0,135,25,-0.138174794962025,0.210900476294365
0,150,25,-0.138174794962025,0.210900476294365
0,165,25,-0.138174794962025,0.210900476294365
0,180,25,-0.138174794962025,0.210900476294365
0,195,25,-0.138174794962025,0.210900476294365
0,210,25,-0.138174794962025,0.210900476294365
0,225,25,-0.138174794962025,0.210900476294365
0,240,25,-0.138174794962025,0.210900476294365
0,255,25,-0.138174794962025,0.210900476294365
0,270,25,-0.138174794962025,0.210900476294365
0,285,25,-0.138174794962025,0.210900476294365
0,300,25,-0.138174794962025,0.210900476294365
0,315,25,-0.138174794962025,0.210900476294365
0,330,25,-0.138174794962025,0.210900476294365
0,345,25,-0.138174794962025,0.210900476294365
0,360,25,-0.138174794962025,0.210900476294365
5,0,25,-0.1624895303531695,0.16795341482308054
5,15,25,-0.1663006746833875,0.16531619669169287
5,30,25,-0.1685843760289326,0.16373593153421948
5,45,25,-0.16918500391710087,0.16332031180963033
5,60,25,-0.16806162654989806,0.1640976613153123
5,75,25,-0.16529080023843032,0.16601500496708396
5,90,25,-0.16106135221681703,0.16894167896363713
5,105,25,-0.15566151237823792,0.17267823530866425
5,120,25,-0.14945927088403482,0.17697003386220303
5,135,25,-0.14287730024234901,0.1815245956453623
5,150,25,-0.1363641508751906,0.18603153479938897
5,165,25,-0.13036368314844324,0.19018371086900507
5,180,25,-0.1252848190214429,0.19369815991686193
5,195,25,-0.12147367469122489,0.1963353780482495
5,210,25,-0.1191899733456798,0.197915643205723
5,225,25,-0.11858934545751151,0.19833126293031203
5,240,25,-0.11971272282471428,0.19755391342463005
5,255,25,-0.12248354913618206,0.1956365697728584
5,270,25,-0.12671299715779535,0.19270989577630523
5,285,25,-0.1321128369963745,0.18897333943127817
5,300,25,-0.13831507849057756,0.18468154087773944
5,315,25,-0.14489704913226334,0.18012697909458011
5,330,25,-0.15141019849942178,0.1756200399405535
5,345,25,-0.15741066622616917,0.1714678638709373
5,360,25,-0.1624895303531695,0.16795341482308054
10,0,25,-0.18203994993514067,0.1289596453404219
10,15,25,-0.1878285891641059,0.12495404938079166
10,30,25,-0.19129723848584573,0.122553829370705
10,45,25,-0.1922095151812976,0.12192255633729812
10,60,25,-0.19050324910127492,0.1231032504945698
10,75,25,-0.1862947194593933,0.1260154494868913
10,90,25,-0.17987073059582284,0.13046069176557226
10,105,25,-0.17166906673547233,0.1361360414154308
10,120,25,-0.16224865771653427,0.14265473273678783
10,135,25,-0.15225148884568734,0.1495725276887396
10,150,25,-0.14235885066037707,0.15641798997750725
10,165,25,-0.13324491010457468,0.16272461266077262
10,180,25,-0.1255307671656593,0.16806260982485796
10,195,25,-0.11974212793669403,0.17206820578448825
10,210,25,-0.11627347861495417,0.17446842579457492
10,225,25,-0.11536120191950236,0.1750996988279818
10,240,25,-0.11706746799952499,0.17391900467071011
10,255,25,-0.12127599764140667,0.17100680567838863
10,270,25,-0.12769998650497713,0.16656156339970765
10,285,25,-0.13590165036532764,0.1608862137498491
10,300,25,-0.14532205938426565,0.15436752242849208
10,315,25,-0.15531922825511257,0.14744972747654034
10,330,25,-0.1652118664404229,0.14060426518777266
10,345,25,-0.17432580699622524,0.1342976425045073
10,360,25,-0.1820399499351406,0.12895964534042198
15,0,25,-0.20394980607902236,0.08898970643303372
15,15,25,-0.21134176445411415,0.08387465306213715
15,30,25,-0.215771149390697,0.08080962763839955
15,45,25,-0.21693610562524748,0.08000350657925462
15,60,25,-0.21475724331556212,0.08151122570270505
15,75,25,-0.20938304832730573,0.08523003644211138
15,90,25,-0.20117976316765096,0.09090650799120836
15,105,25,-0.1907064281636585,0.09815379819473782
15,120,25,-0.17867678378784602,0.10647801620204259
15,135,25,-0.16591063042449783,0.11531188031234549
15,150,25,-0.15327796032826024,0.12405337728518004
15,165,25,-0.1416396690897173,0.13210678854785443
15,180,25,-0.13178888702359015,0.1389232874317087
15,195,25,-0.12439692864849836,0.1440383408026053
15,210,25,-0.11996754371191551,0.14710336622634287
15,225,25,-0.11880258747736507,0.14790948728548783
15,240,25,-0.12098144978705044,0.1464017681620374
15,255,25,-0.12635564477530678,0.14268295742263104
15,270,25,-0.13455892993496157,0.13700648587353406
15,285,25,-0.14503226493895402,0.12975919567000466
15,300,25,-0.15706190931476646,0.1214349776626999
15,315,25,-0.16982806267811465,0.11260111355239702
15,330,25,-0.1824607327743523,0.10385961657956236
15,345,25,-0.1940990240128952,0.09580620531688805
15,360,25,-0.2039498060790223,0.08898970643303372
20,0,25,-0.2290542376515851,0.047465702547548505
20,15,25,-0.23784643789901028,0.0413817162436306
20,30,25,-0.24311487115569527,0.03773609002098355
20,45,25,-0.24450050240169466,0.036777267281998594
20,60,25,-0.24190890315745742,0.03857059021180795
20,75,25,-0.23551668662865807,0.04299384681635146
20,90,25,-0.2257594718080971,0.0497455994678066
20,105,25,-0.21330219676123574,0.058365727380775584
20,120,25,-0.19899380419589732,0.06826678308342438
