L	a	b	R	G	B	N
91.78687437	1.152345829	-1.702675614	232.5262621	230.7770243	234.7179638	285
46.81027901	64.70299065	42.24163757	209.5057037	38.9551972	45.12649705	24
60.45909338	48.63393872	34.35213971	230.8244819	105.7895409	88.48752319	9
26.4780805	4.470491852	-14.72524494	60.33053344	60.97313682	85.10835691	57
19.1507423	3.312007988	-7.691646861	47.15442884	45.14837874	57.68624181	36
37.07159661	23.9408119	1.88885198	123.205628	71.64466762	85.23089487	1
68.03447303	37.3608749	9.236804689	231.2540634	138.3331505	151.15895	10
25.62930468	29.87461379	8.685571601	102.4897562	38.90016473	49.16425876	3
73.49815426	10.69276246	56.30245351	220.0443176	172.059181	72.58900827	3
50.69032473	-3.631188811	17.40914903	123.0920152	122.0306148	90.67573337	17
43.83085018	8.89274006	-34.85365835	90.79001141	100.449396	161.7665554	5
59.1364289	-43.88305334	8.104736096	1.376438202	161.9854216	126.2589666	6
77.02250885	-44.98280461	-0.123966018	61.35513417	212.5046223	188.5793718	1
75.23174012	-4.257934888	17.7505355	187.2649732	187.0532656	152.2597594	10
85.29838107	-0.787489411	50.49519755	234.5977171	211.8970139	114.8284057	3
67.83646186	-60.421847	34.2770008	0	191.206674	98.33780722	1
36.54673418	55.59571486	27.70348183	165.6856784	24.62443678	45.92491992	1
56.94340055	-19.0577467	-13.24673757	82.19563726	146.8759208	159.0100632	1
69.02179938	15.13082517	58.99521645	214.0116133	157.0286293	54.92716469	7
