L	a	b	R	G	B	Group
1.450028402	0.556221086	-1.513823695	4.999999728	5.000000691	8.999999998	3
2.59012597	-0.324249527	-3.136770718	5.000000334	10.00000074	16.00000004	3
3.154056555	1.849089769	0.651524006	15.99999835	10.00000245	9.999999644	3
4.3368825	4.749459897	-11.32430311	14.0000001	13.00000138	31.00000024	3
4.933809865	1.356809658	-1.395754129	17.99999871	16.00000212	18.99999979	3
5.463889013	-2.35512E-06	9.4205E-07	17.99999874	18.00000203	17.99999969	3
8.832685239	0.527536169	-1.396784959	24.99999857	25.00000244	26.9999997	3
11.23989819	6.267374224	-0.659964878	37.99999725	27.00000426	30.99999956	3
13.06123243	1.677246122	-1.681277714	34.99999804	33.0000032	35.99999963	3
13.15769261	0.948849822	-8.827463561	27.9999998	34.00000208	46.00000002	3
13.16977779	-0.681175805	3.541515109	34.99999775	34.00000326	28.99999928	3
13.16977779	-0.681175805	3.541515109	34.99999775	34.00000326	28.99999928	3
13.5476329	1.670208566	-1.674529135	35.999998	34.00000326	36.99999962	3
13.67590651	3.724175566	-11.58610382	30.99999968	34.0000023	51.00000013	3
14.03204617	1.663343781	-1.667939367	36.99999796	35.00000332	37.99999961	3
14.03204617	1.663343781	-1.667939367	36.99999796	35.00000332	37.99999961	3
14.21932345	1.568225443	-10.04225637	29.99999987	36.00000215	50.00000006	3
15.20497183	0.569946662	-2.792289624	36.9999983	38.00000309	41.99999967	3
15.2159393	1.128239045	-6.349111401	34.9999989	38.00000274	46.99999987	3
15.2159393	1.128239045	-6.349111401	34.9999989	38.00000274	46.99999987	3
15.54885116	2.1476442	-2.959104286	39.99999795	38.00000348	42.99999966	3
15.80352302	6.305529601	-10.34697842	40.99999844	37.00000343	54.00000003	3
15.95074913	1.637467441	-1.643040298	40.99999781	39.00000358	41.99999957	3
16.09397488	2.071264813	0.008039956	42.99999746	39.0000039	39.99999945	3
16.42590119	1.631361593	-1.637151709	41.99999777	40.00000364	42.99999956	3
16.43561308	17.82462804	3.021657985	64.99999481	30.00001008	36.99999905	3
16.5154079	2.484946716	-5.039396557	40.99999818	40.0000034	47.99999976	3
